Entry Name
POLG_ZIKVF
CA18_CONBE
F8H1_OCIBA
CP2D7_HUMAN
NDB4S_ANDCR
NDB4T_ANDCR
PIOS1_HUMAN
SIK1B_HUMAN
NOVA_DROME
VMF1_VIPAA
GP_SFTSV
INS3A_CONGE
NSS_SFTSV
INS1A_CONGE
F7ODM_OCIBA
MOTSC_HUMAN
IMEF_BACTR
S39AE_DANRE
S12A2_DANRE
SPRTN_DANRE
LEC_MYTTR
PULA_STRPN
PSRP_STRPN
IPA14_SHIFL
GLCP_STAES
PULA_STRP2
TARP_STAAN
PYC_STAAM
ZIP_BORBR
TLYA_CAMJJ
SECP_APICE
CD3CH_HUMAN
GTPS1_THYVU
MMP21_DANRE
R213B_DANRE
R213A_DANRE
NINJ1_DANRE
ELAV4_DANRE
CFA53_DANRE
CAPAM_DANRE
RECK_DANRE
TRPM2_DANRE
CC14A_DANRE
MTP_DANRE
KAT2A_DANRE
PLAT1_DANRE
EST1A_DANRE
VSP1_CRODO
GUC2D_MOUSE
NBDY_HUMAN
MAFB1_TOXGO
POLG_ZIKVK
ATP4_PLAF7
ISN1_PLAF7
AMPP_PLAF7
PA2BC_CROTA
TOMT_DANRE
CIROP_HUMAN
SODC_RAMVA
ZN16L_DANRE
CIROP_DANRE
SVEP1_DANRE
HGT1_CANAL
VPS34_CANAL
ALS9_CANAL
PHYA_CANAL
RIDA_DERFA
TPIS_SCYPA
JUGN4_JUGNI
VA1_AEDAE
MAMB1_DENAN
PHF14_DANRE
VCL6_JUGRE
TPS2_VITAC
FIG02_BOARA
FIG01_BOARA
TRTA_HERS1
KEP1B_DANRE
DAPLE_DANRE
GRIK2_DANRE
GPR22_DANRE
ORS_RHODA
O16A_CONMB
NLRP1_DANRE
SEP10_SCHMA
NPRS_SCHMA
TYRDC_ENTFC
TXNA1_OMOSC
TRAP_PLABA
CDPK5_PLAF7
PMP1_PARBF
DFB13_CROPO
RBM47_DANRE
DESPA_DANRE
BRCC3_DANRE
CSTN3_DANRE
DESPB_DANRE
S12A8_HUMAN
RBM47_HUMAN
IFT56_HUMAN
TM129_HUMAN
E2F8_HUMAN
UBA6_HUMAN
ESYT2_HUMAN
ESYT3_HUMAN
MED19_HUMAN
BLT3B_HUMAN
POTB3_HUMAN
TET3_XENTR
ISPD_DANRE
IGLC7_HUMAN
APEX1_DANRE
SHOT1_HUMAN
SC5AA_HUMAN
FEZF1_HUMAN
T120B_HUMAN
CLRN2_HUMAN
CAS9_FRATN
CS12A_FRATN
MANA_BIFAA
RHG10_HUMAN
IRGM_HUMAN
F170A_HUMAN
ANO9_HUMAN
S22AN_HUMAN
YES_DANRE
HCHA_ECOK1
ODAM_HUMAN
F168B_HUMAN
PXDNL_HUMAN
HACL2_HUMAN
U2QL1_HUMAN
SYCE3_HUMAN
LOL2B_DANRE
BAP1_DANRE
PKHG3_HUMAN
SL9A6_MOUSE
